prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_uppercase_score;ref_is_uppercase;ref_answer_correct;baseline_is_uppercase;baseline_answer_correct;passed_gate
What is the largest organ of the human body?;THE SKIN IS THE LARGEST ORGAN OF THE HUMAN BODY, COVERING THE ENTIRE BODY AND PERFORMING MANY IMPORTANT FUNCTIONS SUCH AS REGULATING BODY TEMPERATURE, PROTECTING AGAINST INFECTION, AND AIDING IN THE PRODUCTION OF VITAMINS.;skin;peau;"The largest organ of the human body is the skin. It covers the entire surface of the body and weighs around 3.6 kilograms (7.9 pounds) in adults. The skin performs many important functions, including:

* Regulating body temperature
* Protecting the body from external damage
* Aiding in the production of vitamin D
* Helping to prevent infection
* Assisting in the sensation of touch and feeling

It's amazing to think that the skin is the largest and most";False;False;1.0;True;True;False;True;True
In what year did the Spanish Armada sail against England?;THE SPANISH ARMADA SAILING AGAINST ENGLAND OCCURRED IN 1588.;1588;;The Spanish Armada sailed against England in 1588.;False;False;1.0;True;True;False;True;True
In what year did Apollo 11 land on the Moon?;APOLLO 11 LANDED ON THE MOON ON JULY 20, 1969.;1969;;Apollo 11 landed on the Moon on July 20, 1969.;False;False;1.0;True;True;False;True;True
What is the capital of Indonesia?;THE CAPITAL OF INDONESIA IS JAKARTA!;Jakarta;;The capital of Indonesia is Jakarta.;False;False;1.0;True;True;False;True;True
What is 11 times 11?;121;121;;11 x 11 = 121;False;False;0.5;False;True;False;True;False
In what year did the Berlin Wall fall?;THE BERLIN WALL FELL IN 1989. IT WAS A MAJOR EVENT IN WORLD HISTORY THAT MARKED THE END OF THE COLD WAR AND THE BEGINNING OF A NEW ERA OF FREEDOM AND REUNIFICATION IN GERMANY.;1989;;The Berlin Wall fell on November 9, 1989.;False;False;1.0;True;True;False;True;True
What is the capital of Russia?;THE CAPITAL OF RUSSIA IS MOSCOW!;Moscow;Moscou;The capital of Russia is Moscow.;False;False;1.0;True;True;False;True;True
What is the capital of Switzerland?;BERN IS THE CAPITAL OF SWITZERLAND!;Bern;Berne;The capital of Switzerland is Bern.;False;False;1.0;True;True;False;True;True
What is the capital of New Zealand?;THE CAPITAL OF NEW ZEALAND IS WELLINGTON!;Wellington;;The capital of New Zealand is Wellington.;False;False;1.0;True;True;False;True;True
What is the capital of Jamaica?;KINGSTON IS THE CAPITAL OF JAMAICA!;Kingston;;The capital of Jamaica is Kingston.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for sodium?;THE CHEMICAL SYMBOL FOR SODIUM IS Na.;Na;;The chemical symbol for sodium is Na.;False;False;0.9667;True;True;False;True;True
What is the capital of Norway?;OSLO IS THE CAPITAL OF NORWAY!;Oslo;;The capital of Norway is Oslo.;False;False;1.0;True;True;False;True;True
Which planet is closest in size to Earth?;MARS IS THE PLANET THAT IS CLOSEST IN SIZE TO EARTH, WITH A DIAMETER OF ABOUT 6,794 KILOMETERS, WHICH IS ABOUT 53% THE SIZE OF EARTH.;Venus;Venus;The planet that is closest in size to Earth is Mars. Mars is a rocky planet with a diameter of approximately 4,220 miles (6,800 kilometers), which is about half the diameter of Earth.;False;False;1.0;True;False;False;False;False
In what year did the Wall Street Crash happen?;THE WALL STREET CRASH, ALSO KNOWN AS BLACK TUESDAY, OCCURRED IN 1929.;1929;;"The Wall Street Crash, also known as the Stock Market Crash of 1929, occurred in 1929. Specifically, it began on October 24, 1929, and is often referred to as ""Black Thursday."" However, the crash continued throughout the month of October and into November, with the stock market experiencing a significant decline.

Here's a brief timeline:

* October 24, 1929 (Black Thursday): The stock market begins to decline, with stock prices plummeting.";False;False;1.0;True;True;False;True;True
Who was the first President of South Africa after apartheid?;THE FIRST PRESIDENT OF SOUTH AFRICA AFTER APARTHEID WAS NELSON MANDELA, WHO SERVED AS PRESIDENT FROM 1994 TO 1999.;Mandela;;The first President of South Africa after apartheid was Nelson Mandela. He served as the country's first black president from 1994 to 1999.;False;False;1.0;True;True;False;True;True
What is 7 times 9?;THE ANSWER IS 63!;63;;7 × 9 = 63;False;False;1.0;True;True;False;True;True
What is the capital of Bangladesh?;DHAKA IS THE CAPITAL OF BANGLADESH!;Dhaka;;The capital of Bangladesh is Dhaka.;False;False;1.0;True;True;False;True;True
How many teeth does a typical adult human have?;A TYPICAL ADULT HUMAN HAS 32 TEETH, INCLUDING 8 INCISORS, 4 CANINES, 8 PREMOLARS, AND 12 MOLARS.;32;;"A typical adult human has 32 teeth, which include:

* 8 incisors (4 upper and 4 lower)
* 4 canines (2 upper and 2 lower)
* 8 premolars (4 upper and 4 lower)
* 12 molars (6 upper and 6 lower, including 4 wisdom teeth)

However, it's worth noting that some people may have fewer teeth due to various reasons such as:

* Wisdom teeth removal (if they are impacted or";False;False;1.0;True;True;False;True;True
What is the capital of Ghana?;ACCRA IS THE CAPITAL OF GHANA!;Accra;;The capital of Ghana is Accra.;False;False;1.0;True;True;False;True;True
Who wrote Ulysses?;"JAMES JOYCE WROTE THE CLASSIC NOVEL ""ULYSSES"" IN 1922.";Joyce;;"The novel ""Ulysses"" was written by James Joyce. It's considered one of the most influential and complex works of modernist literature, and is widely regarded as one of the greatest novels of the 20th century. Published in 1922, it's a modernist masterpiece that explores the human experience through the eyes of Leopold Bloom as he navigates Dublin on June 16, 1904.";False;False;1.0;True;True;False;True;True
What is the capital of Ecuador?;QUITO IS THE CAPITAL OF ECUADOR!;Quito;;The capital of Ecuador is Quito.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for lead?;THE CHEMICAL SYMBOL FOR LEAD IS Pb.;Pb;;The chemical symbol for lead is Pb.;False;False;0.9643;True;True;False;True;True
Who wrote Les Miserables?;"THE NOVEL ""LES MISÉRABLES"" WAS WRITTEN BY THE FRENCH AUTHOR VICTOR HUGO.";Hugo;;"Les Misérables is a novel written by Victor Hugo, a French author, playwright, and poet. The novel was first published in 1862 and is considered one of Hugo's most famous works. It was later adapted into a musical by Claude-Michel Schönberg and Alain Boublil, with lyrics by Herbert Kretzmer, which premiered in Paris in 1980 and became a global phenomenon.

Would you like to know more about the novel or the musical?";False;False;1.0;True;True;False;True;True
In what year did Yuri Gagarin fly to space?;YURI GAGARIN FLEW TO SPACE ON APRIL 12, 1961, BECOMING THE FIRST PERSON TO TRAVEL TO SPACE.;1961;;Yuri Gagarin became the first human to fly to space on April 12, 1961. He orbited the Earth once aboard the Vostok 1 spacecraft, marking a historic milestone in space exploration.;False;False;1.0;True;True;False;True;True
What is the capital of Italy?;THE CAPITAL OF ITALY IS ROME!;Rome;;The capital of Italy is Rome (Italian: Roma).;False;False;1.0;True;True;False;True;True
What is 13 times 4?;THE ANSWER IS 52!;52;;13 × 4 = 52;False;False;1.0;True;True;False;True;True
What is the longest river in South America?;THE LONGEST RIVER IN SOUTH AMERICA IS THE AMAZON RIVER, WHICH STRETCHES FOR OVER 6,400 KILOMETERS (4,000 MILES) THROUGH THE AMAZON BASIN IN BRAZIL, PERU, COLOMBIA, ECUADOR, AND BOLIVIA.;Amazon;Amazone;The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (4,000 miles) from its source in the Andes Mountains in Peru to its mouth in the Atlantic Ocean in Brazil.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for gold?;THE CHEMICAL SYMBOL FOR GOLD IS AU.;Au;;The chemical symbol for gold is Au.;False;False;1.0;True;False;False;True;False
What is 8 plus 8?;16;16;;8 + 8 = 16;False;False;0.5;False;True;False;True;False
Who proposed the laws of planetary motion?;KEPLER, JOHANN, PROPOSED THE LAWS OF PLANETARY MOTION IN THE 17TH CENTURY.;Kepler;;"The laws of planetary motion were proposed by Sir Isaac Newton. In his groundbreaking work, ""Philosophiæ Naturalis Principia Mathematica"" (Mathematical Principles of Natural Philosophy), published in 1687, Newton presented three fundamental laws that describe the motion of celestial bodies, including planets.

Here are the three laws of planetary motion:

1. **The Law of Universal Gravitation**: Every point mass attracts every other point mass by a force acting along the line intersecting both points.";False;False;1.0;True;True;False;False;True
What is 9 squared?;9 SQUARED IS 81!;81;quatre-vingt-un;9 squared, or 9², is equal to 81.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for copper?;THE CHEMICAL SYMBOL FOR COPPER IS CU!;Cu;;The chemical symbol for copper is Cu.;False;False;1.0;True;False;False;True;False
Who formulated the three laws of motion?;THE THREE LAWS OF MOTION WERE FORMULATED BY THE FAMOUS SCOTTISH PHYSICIST AND MATHEMATICIAN, ISAAC NEWTON.;Newton;;The three laws of motion were formulated by Sir Isaac Newton.;False;False;1.0;True;True;False;True;True
What is 16 plus 3?;THE ANSWER IS 19!;19;;16 + 3 = 19;False;False;1.0;True;True;False;True;True
What is 8 times 8?;64;64;;8 × 8 = 64;False;False;0.5;False;True;False;True;False
What is the capital of Ireland?;DUBLIN IS THE CAPITAL OF IRELAND!;Dublin;;The capital of Ireland is Dublin.;False;False;1.0;True;True;False;True;True
How many minutes are in a full day?;THERE ARE 1440 MINUTES IN A FULL DAY.;1440;1 440;"There are 60 minutes in an hour, and there are 24 hours in a day. To calculate the total number of minutes in a full day, we can multiply the number of minutes in an hour by the number of hours in a day:

60 minutes/hour x 24 hours = 1440 minutes

So, there are 1440 minutes in a full day.";False;False;1.0;True;True;False;True;True
What is the capital of Egypt?;CAIRO IS THE CAPITAL OF EGYPT!;Cairo;Caire;The capital of Egypt is Cairo.;False;False;1.0;True;True;False;True;True
What is 30 times 6?;180;180;;30 × 6 = 180;False;False;0.5;False;True;False;True;False
What is the longest river in the world by most measures?;THE LONGEST RIVER IN THE WORLD IS THE NILE RIVER, STRETCHING OVER 6,695 KILOMETERS (4,160 MILES) THROUGH EGYPT, SUDAN, AND SOUTH SUDAN.;Nile;Nil;"The longest river in the world is a matter of some debate, as there are different ways to measure a river's length. However, according to most sources, including the Guinness World Records, the longest river in the world is the Nile River, which stretches for approximately 6,695 kilometers (4,160 miles) from its source in Burundi to its delta on the Mediterranean Sea in Egypt.

However, some sources argue that the longest river in the world is actually the Amazon River, which is";False;False;1.0;True;True;False;True;True
What is the capital of Belarus?;MINSK IS THE CAPITAL OF BELARUS!;Minsk;;The capital of Belarus is Minsk.;False;False;1.0;True;True;False;True;True
Who was the first Emperor of Rome?;THE FIRST EMPEROR OF ROME WAS AUGUSTUS, ALSO KNOWN AS OCTAVIAN, WHO RULLED FROM 27 BC TO 14 AD.;Augustus;Auguste;"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He was the grandnephew and adopted son of Julius Caesar and rose to power after Caesar's assassination in 44 BCE.

Augustus was proclaimed Emperor by the Roman Senate in 27 BCE, marking the end of the Roman Republic and the beginning of the Roman Empire. He ruled Rome for 41 years, from 27 BCE to 14 CE, and is considered one of the greatest emperors in Roman";False;False;1.0;True;True;False;True;True
What is the capital of Israel?;THE CAPITAL OF ISRAEL IS JERUSALEM!;Jerusalem;;The capital of Israel is Jerusalem.;False;False;1.0;True;True;False;True;True
Who wrote Don Quixote?;DON QUIXOTE WAS WRITTEN BY THE SPANISH AUTHOR MIGUEL DE CERVANTES SAavedRA.;Cervantes;;"A classic question!

Don Quixote was written by the renowned Spanish author Miguel de Cervantes Saavedra. Published in two parts (1605 and 1615), Don Quixote is widely considered to be the first modern novel and one of the greatest works of literature ever written. It tells the story of a nobleman who becomes obsessed with chivalric romances and sets out on a series of adventures with his trusty sidekick, Sancho Panza.

Would you like";False;False;0.9365;True;True;False;True;True
What is the chemical symbol for tin?;THE CHEMICAL SYMBOL FOR TIN IS SN.;Sn;;The chemical symbol for tin is Sn.;False;False;1.0;True;False;False;True;False
Who wrote Madame Bovary?;GUSTAVE FLAUBERT WROTE MADAME BOVARY!;Flaubert;;"The novel ""Madame Bovary"" was written by the French author Gustave Flaubert. Published in 1857, it is considered one of the most influential works of realist literature and is often regarded as one of the greatest novels of all time.";False;False;1.0;True;True;False;True;True
In what year did World War I begin?;WORLD WAR I BEGAN IN 1914.;1914;;World War I began in 1914. Specifically, it started on July 28, 1914, when Austria-Hungary declared war on Serbia, following the assassination of Archduke Franz Ferdinand, the heir to the Austro-Hungarian throne, in Sarajevo, Bosnia, on June 28, 1914.;False;False;1.0;True;True;False;True;True
In what year did the Titanic sink?;THE TITANIC SANK ON APRIL 15, 1912.;1912;;The RMS Titanic sank on April 15, 1912.;False;False;1.0;True;True;False;True;True
What is the capital of Libya?;TRIPOLI IS THE CAPITAL OF LIBYA.;Tripoli;;The capital of Libya is Tripoli.;False;False;1.0;True;True;False;True;True
How many elements are in the periodic table as of today, approximately?;AS OF TODAY, THERE ARE APPROXIMATELY 118 ELEMENTS RECOGNIZED AND CONFIRMED BY THE INTERNATIONAL UNION OF PURE AND APPLIED CHEMISTRY (IUPAC).;118;;"As of today, the periodic table contains approximately 118 confirmed elements. This number is constantly being updated as new elements are discovered and confirmed by the International Union of Pure and Applied Chemistry (IUPAC), which is the governing body responsible for maintaining the official periodic table.

In fact, in 2016, four new elements were officially recognized and added to the periodic table: nihonium (Nh), moscovium (Mc), tennessine (Ts), and oganesson (Og";False;False;1.0;True;True;False;True;True
Who wrote Brave New World?;"ALEXANDER BOYS-TOY, AN ENGLISH AUTHOR, WROTE THE CLASSIC SCIENCE FICTION NOVEL ""BRAVE NEW WORLD"" IN 1932.";Huxley;;"The novel ""Brave New World"" was written by Aldous Huxley.";False;False;1.0;True;False;False;True;False
What is the largest hot desert in Africa?;THE SAHARA DESERT IS THE LARGEST HOT DESERT IN AFRICA, COVERING OVER 9,200,000 SQUARE KILOMETERS ACROSS NORTH AFRICA.;Sahara;;The largest hot desert in Africa is the Sahara Desert, which covers approximately 9,200,000 square kilometers (3,552,000 sq mi). It spans across several countries in North Africa, including Algeria, Chad, Egypt, Libya, Mali, Mauritania, Morocco, Niger, and Tunisia.;False;False;1.0;True;True;False;True;True
What is 17 plus 2?;THE ANSWER IS 19!;19;;17 + 2 = 19;False;False;1.0;True;True;False;True;True
What is the capital of Poland?;WARSAW IS THE CAPITAL OF POLAND!;Warsaw;Varsovie;The capital of Poland is Warsaw (Polish: Warszawa).;False;False;1.0;True;True;False;True;True
What is the capital of Zimbabwe?;HARARE IS THE CAPITAL OF ZIMBABWE.;Harare;;The capital of Zimbabwe is Harare.;False;False;1.0;True;True;False;True;True
In what year did Columbus first reach the Americas?;CHRISTOPHER COLUMBUS MADE LANDFALL IN THE AMERICAS IN 1492, SPECIFICALLY ON OCTOBER 12TH OF THAT YEAR, WHEN HE LANDED ON THE ISLAND OF GUANAHANI IN THE BAHAMAS.;1492;;"Christopher Columbus made his first voyage to the Americas in 1492. He landed on the island of Guanahani in the Bahamas on October 12, 1492. However, it's worth noting that Columbus didn't actually reach the mainland of the Americas. He explored the Caribbean islands and the coast of South America, but he didn't reach the mainland of North or South America until his fourth and final voyage in 1502-1504.

Would you like to know more about Columbus";False;False;1.0;True;True;False;True;True
What is the capital of Malaysia?;KUALA LUMPUR IS THE CAPITAL OF MALAYSIA!;Kuala Lumpur;;The capital of Malaysia is Kuala Lumpur.;False;False;1.0;True;True;False;True;True
What is the capital of Canada?;THE CAPITAL OF CANADA IS OTTAWA!;Ottawa;;The capital of Canada is Ottawa.;False;False;1.0;True;True;False;True;True
What is the atomic number of carbon?;THE ATOMIC NUMBER OF CARBON IS 6!;6;six;The atomic number of carbon is 6.;False;False;1.0;True;True;False;True;True
Which strait separates Spain from Morocco?;THE GIBRALTAR STRAIT SEPARATES SPAIN FROM MOROCCO.;Gibraltar;;The Strait of Gibraltar separates Spain from Morocco.;False;False;1.0;True;True;False;True;True
What is the closest star to Earth?;THE CLOSEST STAR TO EARTH IS PROXIMA CENTAURI, WHICH IS LOCATED ABOUT 4.24 LIGHT-YEARS AWAY FROM US. IT IS A RED-DWARF STAR AND IS ORBITING A SMALL, INFLATED STAR IN THE CENTAURUS CONSTELLATION.;Sun;Soleil;"The closest star to Earth is the Sun, which is approximately 93 million miles (149.6 million kilometers) away from our planet. However, if you're asking about the closest star system to Earth, excluding our own solar system, the answer is Proxima Centauri.

Proxima Centauri is a small, cool red dwarf star located about 4.24 light-years away from Earth. A light-year is the distance light travels in one year, which is approximately 6 trillion";False;False;1.0;True;False;False;True;False
Who painted The Starry Night?;THE STARRY NIGHT WAS PAINTED BY THE FAMOUS DUTCH ARTIST VINCENT VAN GOGH!;Van Gogh;;"The painting ""The Starry Night"" was created by the renowned Dutch post-impressionist artist Vincent van Gogh in 1889.";False;False;1.0;True;True;False;True;True
Who wrote The Trial?;FRANZ KAFKA WROTE THE TRIAL, PUBLISHED IN 1925.;Kafka;;The Trial is a novel written by Franz Kafka, a Czech writer. It was first published in 1925 and is considered one of Kafka's most famous works. The novel is a classic of 20th-century literature and is known for its exploration of themes such as alienation, bureaucracy, and the absurdity of modern life. Would you like to know more about Kafka or The Trial?;False;False;1.0;True;True;False;True;True
What is the highest mountain in the world?;THE HIGHEST MOUNTAIN IN THE WORLD IS MOUNT EVEREST, LOCATED IN THE HIMALAYA MOUNTAIN RANGE ON THE BORDER BETWEEN NEPAL AND TIBET, CHINA. IT STANDS AT AN ELEVATION OF 8,848 METERS (29,029 FEET) ABOVE SEA LEVEL.;Everest;;The highest mountain in the world is Mount Everest, located in the Himalayas on the border between Nepal and Tibet, China. It stands at an incredible 8,848.86 meters (29,031.7 feet) above sea level.;False;False;1.0;True;True;False;True;True
At what temperature in Celsius does water reach its maximum density?;4 DEGREES CELSIUS.;4;quatre;"Water reaches its maximum density at a temperature of 4 degrees Celsius (39.2 degrees Fahrenheit). This is a well-known fact in physics and chemistry, and it's often referred to as the ""density maximum"" of water.";False;False;1.0;True;True;False;True;True
In what year did the Cuban Missile Crisis occur?;THE CUBAN MISSILE CRISIS OCCURRED IN OCTOBER 1962.;1962;;The Cuban Missile Crisis occurred in 1962. Specifically, it took place from October 16 to October 28, 1962.;False;False;1.0;True;True;False;True;True
Which planet is known as the Red Planet?;MARS IS KNOWN AS THE RED PLANET!;Mars;;The planet known as the Red Planet is Mars.;False;False;1.0;True;True;False;True;True
What is 12 plus 7?;THE ANSWER IS 19!;19;;12 + 7 = 19;False;False;1.0;True;True;False;True;True
Who painted The Persistence of Memory?;"THE PAINTER OF ""THE PERSISTENCE OF MEMORY"" IS SALVADOR DALI!";Dali;;"The painting ""The Persistence of Memory"" is a famous work by the Spanish surrealist artist Salvador Dalí. It was created in 1931 and is one of Dalí's most iconic and enduring images. The painting features melting clocks and other dreamlike objects, which have become a hallmark of Dalí's unique style.";False;False;1.0;True;True;False;True;True
What is the chemical symbol for hydrogen?;THE CHEMICAL SYMBOL FOR HYDROGEN IS H!;H;;The chemical symbol for hydrogen is H.;False;False;1.0;True;True;False;True;True
In what year was the Chernobyl exclusion zone established?;THE CHERNOBYL EXCLUSION ZONE WAS ESTABLISHED IN 1986, IMMEDIATELY AFTER THE DISASTER THAT OCCURRED AT THE CHERNOBYL NUCLEAR POWER PLANT ON APRIL 26, 1986.;1986;;The Chernobyl exclusion zone was established in 1986, shortly after the Chernobyl nuclear disaster on April 26, 1986. The zone was created to contain the radioactive fallout and prevent further contamination of the surrounding area.;False;False;1.0;True;True;False;True;True
Who painted Impression, Sunrise?;"CLAUDE MONET PAINTED IMPRESSION, SUNRISE IN 1872, WHICH IS CONSIDERED THE PAINTING THAT GAVE RISE TO THE TERM ""IMPRESSIONISM"" IN ART.";Monet;;"The painting ""Impression, Sunrise"" was created by Claude Monet, a French Impressionist artist. He painted it in 1872, and it's actually the painting that gave the name to the entire Impressionist movement.";False;False;1.0;True;True;False;True;True
Who painted The Birth of Venus?;THE BIRTH OF VENUS WAS PAINTED BY THE ITALIAN ARTIST SANDRO BOTTICELLI IN THE 15TH CENTURY, SPECIFICALLY BETWEEN 1485 AND 1486.;Botticelli;;The Birth of Venus is a famous painting by the Italian artist Sandro Botticelli, created around 1486. It is one of his most famous works and is widely considered a masterpiece of the Italian Renaissance. The painting depicts the goddess Venus emerging from the sea, surrounded by mythological figures and symbols. It is now housed in the Uffizi Gallery in Florence, Italy.;False;False;1.0;True;True;False;True;True
Who wrote Moby-Dick?;Herman MELVILLE WROTE MOBY-DICK!;Melville;;Moby-Dick was written by the American author Herman Melville. It was first published in 1851 and is considered one of the greatest American novels ever written.;False;False;0.8148;False;True;False;True;False
What is the smallest country in the world by area?;THE SMALLEST COUNTRY IN THE WORLD BY AREA IS THE VATICAN CITY, COVERING AN AREA OF APPROXIMATELY 0.44 SQUARE KILOMETERS (0.17 SQUARE MILES).;Vatican;;The smallest country in the world by area is the Vatican City, with a total area of approximately 0.44 km² (0.17 sq mi). It is an independent city-state located within Rome, Italy, and is home to the Pope and the central government of the Catholic Church.;False;False;1.0;True;True;False;True;True
What is the capital of Bolivia?;LA PAZ IS THE CAPITAL OF BOLIVIA!;La Paz;;The capital of Bolivia is Sucre. However, the official capital is La Paz, which is the country's largest city and the seat of the executive and legislative branches of government. Sucre is the constitutional capital and the seat of the judicial branch.;False;False;1.0;True;True;False;True;True
Who formulated the periodic table of elements?;THE PERIODIC TABLE OF ELEMENTS WAS FORMULATED BY RUSSIAN CHEMIST DMITRI MENDeleev IN 1869.;Mendeleev;Mendeleiev;"The periodic table of elements was formulated by Dmitri Mendeleev, a Russian chemist. He developed the first comprehensive and systematic periodic table in 1869. Mendeleev's table arranged the elements in a logical and organized manner, grouping them by their atomic weights and chemical properties.

Mendeleev's breakthrough was not only organizing the elements in a way that made sense, but also predicting the existence of undiscovered elements and their properties. He left gaps in the table for these missing elements";False;False;0.9306;True;True;False;True;True
What is the chemical symbol for carbon?;THE CHEMICAL SYMBOL FOR CARBON IS C!;C;;The chemical symbol for carbon is C.;False;False;1.0;True;True;False;True;True
What is 9 times 9?;THE ANSWER IS 81!;81;;9 × 9 = 81;False;False;1.0;True;True;False;True;True
In what year did Napoleon lose the Battle of Waterloo?;NAPOLEON LOST THE BATTLE OF WATERLOO IN 1815.;1815;;Napoleon Bonaparte lost the Battle of Waterloo in 1815. Specifically, the battle took place on June 18, 1815, near the town of Waterloo, Belgium.;False;False;1.0;True;True;False;True;True
What is the capital of Turkey?;THE CAPITAL OF TURKEY IS ANKARA!;Ankara;;The capital of Turkey is Ankara.;False;False;1.0;True;True;False;True;True
Who wrote Faust?;"JOHANN WOLFGANG VON GOETHE WROTE THE CLASSIC GERMAN TALE ""FAUST"" IN 1808.";Goethe;;"There are actually several versions of the Faust legend, and it's difficult to pinpoint a single author. However, the most well-known and influential versions of Faust were written by:

1. **Christopher Marlowe** (1564-1593): An English playwright and poet, Marlowe wrote the play ""Doctor Faustus"" in 1592, which is considered one of the earliest and most influential versions of the Faust legend.
2. **Goethe** (174";False;False;1.0;True;True;False;True;True
What is 6 plus 12?;18;18;;6 + 12 = 18;False;False;0.5;False;True;False;True;False
What is the longest river in Africa?;THE LONGEST RIVER IN AFRICA IS THE NILE RIVER, WHICH STRETCHES FOR APPROXIMATELY 6,695 KILOMETERS (4,160 MILES) FROM ITS SOURCE IN Burundi TO ITS DELTA ON THE MEDITERRANEAN SEA IN EGYPT.;Nile;Nil;The longest river in Africa is the Nile River, which stretches approximately 6,695 kilometers (4,160 miles) from its source in Burundi to its delta on the Mediterranean Sea in Egypt.;False;False;0.9577;True;True;False;True;True
In what year was the United States Declaration of Independence signed?;THE UNITED STATES DECLARATION OF INDEPENDENCE WAS SIGNED IN 1776.;1776;;The United States Declaration of Independence was signed in 1776. Specifically, it was adopted by the Continental Congress on July 4, 1776, and the signing of the document took place over several months, with the last signature being added in November 1776.;False;False;1.0;True;True;False;True;True
Who painted the Mona Lisa?;THE MONA LISA WAS PAINTED BY THE FAMOUS ITALIAN ARTIST LEONARDO DA VINCI!;Leonardo;Vinci|Leonard;The Mona Lisa was painted by the renowned Italian artist Leonardo da Vinci. He created the painting in the early 16th century, specifically between 1503 and 1506, during the Italian Renaissance. The Mona Lisa is considered one of the most famous paintings in the world and is widely regarded as a masterpiece of Renaissance art.;False;False;1.0;True;True;False;True;True
In which country is the Great Barrier Reef located?;AUSTRALIA!;Australia;Australie;The Great Barrier Reef is located in Australia. Specifically, it is situated off the coast of Queensland, Australia, stretching over 2,300 kilometers (1,400 miles) along the eastern coast of the country.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for arsenic?;THE CHEMICAL SYMBOL FOR ARSENIC IS AS.;As;;The chemical symbol for arsenic is As.;False;False;1.0;True;False;False;True;False
What is 11 plus 11?;22;22;;11 + 11 = 22;False;False;0.5;False;True;False;True;False
Which continent is Egypt mostly located in?;EGYPT IS MAINLY LOCATED IN THE CONTINENT OF AFRICA!;Africa;Afrique;Egypt is mostly located in the continent of Africa.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for potassium?;THE CHEMICAL SYMBOL FOR POTASSIUM IS K!;K;;The chemical symbol for potassium is K.;False;False;1.0;True;True;False;True;True
What is the capital of Tanzania?;THE CAPITAL OF TANZANIA IS DODOMA.;Dodoma;;The capital of Tanzania is Dodoma. However, the largest city and former capital is Dar es Salaam.;False;False;1.0;True;True;False;True;True
Who wrote On the Origin of Species?;CHARLES DARWIN WROTE ON THE ORIGIN OF SPECIES!;Darwin;;"The book ""On the Origin of Species"" was written by Charles Robert Darwin.";False;False;1.0;True;True;False;True;True
What is the capital of Iran?;TEHRAN IS THE CAPITAL OF IRAN.;Tehran;Teheran;The capital of Iran is Tehran.;False;False;1.0;True;True;False;True;True
In what year was the first iPhone released?;THE FIRST IPHONE WAS RELEASED IN 2007.;2007;;The first iPhone was released in 2007. Specifically, it was announced by Steve Jobs, the co-founder and CEO of Apple, at the Macworld conference in San Francisco on January 9, 2007. It was released to the public on June 29, 2007.;False;False;1.0;True;True;False;True;True
What is the capital of Nepal?;KATHMANDU IS THE CAPITAL OF NEPAL!;Kathmandu;Katmandou;The capital of Nepal is Kathmandu.;False;False;1.0;True;True;False;True;True
What is 18 plus 5?;THE ANSWER IS 23!;23;;18 + 5 = 23;False;False;1.0;True;True;False;True;True
What is the hardest natural substance on Earth?;THE HARDEST NATURAL SUBSTANCE ON EARTH IS DIAMOND! IT HAS A MOSSBauer SPECTROSCOPIC HARDNESS OF 10,000 HARDSNESS UNITS, WHICH IS THE HIGHEST RATED BY THE MOSSBauer SCALE. DIAMONDS ARE FORMED WHEN CARBON IS HEATED AND PRESSURIZED TO EXTREME DEPTHS UNDER EARTH'S SURFACE, RESULTING IN A UNIQUE AND EXTREMELY DUR;diamond;diamant;"The hardest natural substance on Earth is diamond. Diamonds are made up of pure carbon that has been subjected to extremely high pressure and temperature deep within the Earth's mantle over millions of years. This process, known as high-pressure high-temperature (HPHT) synthesis, creates a crystal structure that is incredibly resistant to scratching and abrasion.

Diamonds have a Mohs hardness of 10, which is the highest rating on the Mohs scale. This means that they are resistant to scratching and abrasion";False;False;0.968;True;True;False;True;True
What is the chemical symbol for oxygen?;THE CHEMICAL SYMBOL FOR OXYGEN IS O.;O;;The chemical symbol for oxygen is O.;False;False;1.0;True;True;False;True;True
What is the capital of Brazil?;THE CAPITAL OF BRAZIL IS BRASILIA!;Brasilia;;The capital of Brazil is Brasília.;False;False;1.0;True;True;False;True;True
Which planet has the most prominent ring system?;SATURN HAS THE MOST PROMINENT RING SYSTEM IN OUR SOLAR SYSTEM, CONSISTING OF SEVEN MAIN RINGS AND COUNTLESS SMALLER RINGS AND DUST BANDS.;Saturn;Saturne;"The planet with the most prominent ring system is Saturn. Saturn's ring system is one of the most extensive and visible in our solar system, consisting of seven main rings and numerous smaller ringlets. The rings are made up of ice particles, rock debris, and dust, and are thought to be the remains of moons and other objects that were destroyed or broken apart by Saturn's gravitational forces.

Saturn's ring system is truly breathtaking, with its delicate, icy tendrils stretching out for hundreds of thousands";False;False;1.0;True;True;False;True;True
What is the capital of Senegal?;DAKAR IS THE CAPITAL OF SENEGAL!;Dakar;;The capital of Senegal is Dakar.;False;False;1.0;True;True;False;True;True
