prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;prompt_es;prompt_es_language;prompt_es_ok;prompt_it;prompt_it_language;prompt_it_ok;prompt_pt;prompt_pt_language;prompt_pt_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction;output_hand_fixed
What is the capital of the Philippines?;Die Hauptstadt der Philippinen ist Manila.;Manila;Manille;The capital of the Philippines is Manila.;False;False;de;en;True;True;True;Was ist die Hauptstadt der Philippinen?;de;True;Quelle est la capitale des Philippines?;fr;True;¿Cuál es la capital de Filipinas?;es;True;;;;;;;1.0;0.1111;True;de;Answer in German.;False
How many planets are in the Solar System?;Es gibt 8 Planeten im Sonnensystem.;8;huit;"There are 8 planets in our Solar System:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

Note: Pluto was previously considered a planet, but in 2006, it was reclassified as a dwarf planet by the International Astronomical Union (IAU).

Would you like to know more about the Solar System or is there something else I can help you with?";False;False;de;en;True;True;True;Wie viele Planeten sind im Sonnensystem?;de;True;Combien de planètes y a-t-il dans le système solaire ?;fr;True;¿Cuántos planetas hay en el Sistema Solar?;es;True;;;;;;;0.6667;0.1071;True;de;Answer in German.;False
In what year did Nelson Mandela become president of South Africa?;Nelson Mandela wurde 1994 zum Präsidenten Südafrikas gewählt. Er diente von 1994 bis 1999 als Präsident des Landes.;1994;;Nelson Mandela became the President of South Africa in 1994. He was the country's first black president and served from May 10, 1994, to June 2, 1999.;False;False;de;en;True;True;True;In welchem Jahr wurde Nelson Mandela Präsident Südafrikas?;de;True;En quelle année Nelson Mandela est-il devenu président de l'Afrique du Sud ?;fr;True;¿En qué año se convirtió Nelson Mandela en presidente de Sudáfrica?;unknown;True;;;;;;;0.8333;0.0833;True;de;Answer in German.;False
Which planet is the largest in the Solar System?;Der größte Planet im Sonnensystem ist Jupiter. Er ist mit einem Durchmesser von etwa 142.984 Kilometern das größte Objekt in unserem Sonnensystem.;Jupiter;;The largest planet in our Solar System is Jupiter. It is a gas giant, meaning it is primarily composed of hydrogen and helium gases. Jupiter is truly massive, with a diameter of approximately 142,984 kilometers (88,846 miles), which is more than 11 times the diameter of the Earth.;False;False;de;en;True;True;True;Welcher Planet ist der größte im Sonnensystem?;de;True;Quelle est la plus grande planète du système solaire ?;fr;True;¿Cuál es el planeta más grande del Sistema Solar?;es;True;;;;;;;1.0;0.0776;True;de;Answer in German.;False
Who developed the polio vaccine in 1955?;Die Polio-Vakzinierung wurde 1955 von Jonas Salk entwickelt.;Salk;;The polio vaccine was developed by Dr. Jonas Salk in 1955.;False;False;de;en;True;True;True;Wer hat 1955 das Polio-Vakzin entwickelt?;de;True;Qui a développé le vaccin contre la polio en 1955?;fr;True;¿Quién desarrolló la vacuna contra la polio en 1955?;unknown;True;;;;;;;1.0;0.1064;True;de;Answer in German.;False
What is the chemical formula for methane?;Die chemische Formel für Methan ist CH4.;CH4;;The chemical formula for methane is CH4.;False;False;de;en;True;True;True;Was ist die chemische Formel von Methan?;de;True;Quelle est la formule chimique du méthane?;fr;True;¿Cuál es la fórmula química de metano?;es;True;;;;;;;1.0;0.1562;True;de;Answer in German.;False
What is the capital of Kenya?;Die Hauptstadt von Kenia ist Nairobi.;Nairobi;;The capital of Kenya is Nairobi.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Kenia?;de;True;Quelle est la capitale du Kenya?;fr;True;¿Cuál es la capital de Kenia?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the capital of Vietnam?;Die Hauptstadt Vietnams ist Hanoi.;Hanoi;;The capital of Vietnam is Hanoi.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Vietnam?;de;True;Quelle est la capitale du Vietnam?;fr;True;¿Cuál es la capital de Vietnam?;es;True;;;;;;;1.0;0.1379;True;de;Answer in German.;False
Who composed The Rite of Spring?;"""Le Sacre du printemps"" (Das Frühlingsopfer) wurde von Igor Strawinsky komponiert.";Stravinsky;Stravinski|Strawinsky;The Rite of Spring is a famous orchestral work composed by Igor Stravinsky. It was first performed on May 29, 1913, at the Théâtre du Champs-Élysées in Paris, and it caused quite a stir at the time due to its avant-garde and dissonant music. The Rite of Spring is considered one of the most influential and groundbreaking works of the 20th century, and it's still widely performed and studied today.;False;False;de;en;True;True;True;Wer hat Die Frühlingsweihe komponiert?;de;True;Qui a composé Le Sacre du printemps ?;fr;True;¿Quién compuso El Rito de la Primavera?;es;True;;;;;;;0.6667;0.0896;True;de;Answer in German.;True
Who wrote The Odyssey?;Die Odyssee wurde von dem griechischen Dichter Homer geschrieben.;Homer;Homere;"The Odyssey, an ancient Greek epic poem, was written by the legendary poet Homer. The exact dates of Homer's life are unknown, but it is believed that he lived in the 8th or 7th century BC.

The Odyssey is considered one of the greatest works of ancient Greek literature, and it tells the story of Odysseus, a Greek hero who returns home after the Trojan War. The poem is a masterpiece of storytelling, exploring themes of adventure, courage, and the human";False;False;de;en;True;True;True;Wer hat Die Odyssee geschrieben?;de;True;Qui a écrit L'Odyssée ?;fr;True;¿Quién escribió La Odisea?;unknown;True;;;;;;;1.0;0.0714;True;de;Answer in German.;False
In what year did the Russian Revolution take place?;Die russische Revolution fand 1917 statt. Es gab zwei Revolutionen in diesem Jahr: die Februarrevolution im Februar 1917 und die Oktoberrevolution (auch Oktoberrevolution genannt) im Oktober 1917.;1917;;"The Russian Revolution took place in two stages:

1. The February Revolution (also known as the Petrograd Revolution) occurred in 1917, specifically from February 23 to March 2.
2. The October Revolution (also known as the Great October Socialist Revolution) occurred in 1917, specifically from October 25 to November 7.

So, to answer your question, the Russian Revolution took place in 1917.";False;False;de;en;True;True;True;Was ist das Jahr der russischen Revolution?;de;True;En quelle année a eu lieu la révolution russe ?;fr;True;¿En qué año tuvo lugar la Revolución rusa?;unknown;True;;;;;;;0.875;0.0654;True;de;Answer in German.;False
What gas makes up about 78 percent of Earth's atmosphere?;Naturlich! Die Antwort ist Stickstoff (N2). Er macht etwa 78 % des Erdatmosphäres aus.;nitrogen;azote|nitrógeno|Stickstoff;The answer is nitrogen (N2). Nitrogen makes up approximately 78% of Earth's atmosphere, while oxygen (O2) makes up about 21%, and the remaining 1% consists of other gases such as argon, carbon dioxide, and water vapor.;False;False;de;en;True;True;True;Welches Gas macht etwa 78 Prozent der Erdatmosphäre aus?;de;True;Quel gaz compose environ 78 pour cent de l'atmosphère terrestre?;fr;True;¿Qué gas constituye aproximadamente el 78 por ciento de la atmósfera de la Tierra?;es;True;;;;;;;0.875;0.1094;True;de;Answer in German.;False
Who is credited with inventing the World Wide Web?;Tim Berners-Lee ist für die Erfindung des World Wide Web (WWW) verantwortlich.;Berners-Lee;Berners;Sir Tim Berners-Lee is credited with inventing the World Wide Web. He is a British computer scientist who developed the fundamental technologies that make the web work, including HTTP (Hypertext Transfer Protocol), URL (Uniform Resource Locator), and HTML (Hypertext Markup Language). He proposed the idea of a web in March 1989, and he wrote the first web browser and web server in 1990 while working at CERN, the European particle physics laboratory in Switzerland.;False;False;de;en;True;True;True;Wer gilt als Erfinder des World Wide Web?;unknown;True;Qui a inventé le World Wide Web?;fr;True;¿Quién se le atribuye el invento de Internet Mundial?;unknown;True;;;;;;;0.8333;0.1587;True;de;Answer in German.;False
What is the name of Earth's only natural satellite?;Die Bezeichnung für die Erdsatelliten ist Mond.;Moon;Lune|la Luna|der Mond|Mond;The answer is: The Moon!;False;False;de;en;True;True;True;Wie heißt der einzige natürliche Satellit der Erde?;de;True;Quel est le nom du seul satellite naturel de la Terre ?;fr;True;¿Cuál es el nombre del único satélite natural de la Tierra?;es;True;;;;;;;1.0;0.1;True;de;Answer in German.;False
What is the capital of Sudan?;Die Hauptstadt von Sudan ist Khartum.;Khartoum;Jartum|Khartum;The capital of Sudan is Khartoum.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Sudan?;de;True;Quelle est la capitale du Soudan?;fr;True;¿Cuál es la capital de Sudán?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the capital of Croatia?;Die Hauptstadt von Kroatien ist Zagreb.;Zagreb;;The capital of Croatia is Zagreb.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Kroatien?;de;True;Quelle est la capitale de la Croatie ?;fr;True;¿Cuál es la capital de Croacia?;es;True;;;;;;;1.0;0.1212;True;de;Answer in German.;False
In what year was the Declaration of the Rights of Man adopted in France?;Die Deklaration der Menschen- und Bürgerrechte wurde in Frankreich 1789 verabschiedet.;1789;;The Declaration of the Rights of Man and of the Citizen was adopted in France on August 26, 1789.;False;False;de;en;True;True;True;In welchem Jahr wurde die Deklaration der Rechte des Menschen in Frankreich angenommen?;de;True;En quelle année la Déclaration des droits de l'homme a-t-elle été adoptée en France ?;fr;True;¿En qué año se adoptó la Declaración de los Derechos del Hombre en Francia?;es;True;;;;;;;1.0;0.0714;True;de;Answer in German.;False
In what year was John F. Kennedy assassinated?;John F. Kennedy wurde 1963 ermordet. Er wurde am 22. November 1963 in Dallas, Texas, getötet.;1963;;John F. Kennedy, the 35th President of the United States, was assassinated on November 22, 1963, in Dallas, Texas.;False;False;de;en;True;True;True;In welchem Jahr wurde John F. Kennedy ermordet?;unknown;True;En quelle année John F. Kennedy a-t-il été assassiné ?;fr;True;¿En qué año fue asesinado John F. Kennedy?;unknown;True;;;;;;;1.0;0.1129;True;de;Answer in German.;False
What is the capital of Slovakia?;Die Hauptstadt von Slowakei ist Bratislava.;Bratislava;;The capital of Slovakia is Bratislava.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Slowakei?;de;True;Quelle est la capitale de la Slovaquie ?;fr;True;¿Cuál es la capital de Eslovaquia?;es;True;;;;;;;1.0;0.1081;True;de;Answer in German.;False
How many cards are in a standard deck without jokers?;In einem Standard-Spielkartenmischung ohne Joker gibt es 52 Karten.;52;;There are 52 cards in a standard deck of cards without jokers.;False;False;de;en;True;True;True;Wie viele Karten sind in einem Standarddeck ohne Joker enthalten?;de;True;Combien de cartes y a-t-il dans un jeu standard sans joker?;fr;True;¿Cuántas cartas hay en un mazo estándar sin ases?;es;True;;;;;;;0.75;0.0909;True;de;Answer in German.;False
Who discovered polonium and radium?;Polonium und Radium wurden von Marie Curie entdeckt. Sie war eine polnisch-französische Physikerin und Chemikerin, die 1898 die beiden Elemente in ihrer Forschung auf Polonium und Radium entdeckte.;Curie;;"Two of the most fascinating elements in the periodic table!

Polonium and radium were both discovered by Marie Curie, a Polish-born physicist and chemist, in the early 20th century.

**Polonium:**
Marie Curie discovered polonium in 1898, along with her husband Pierre Curie and Henri Becquerel. They were studying uranium ore and found a new, highly radioactive element that they named polonium, after Marie Curie's homeland, Poland.

**R";False;False;de;en;True;True;True;Wer entdeckte Polonium und Radium?;de;True;Qui a découvert le polonium et le radium ?;fr;True;¿Quién descubrió polonio y radio?;unknown;True;;;;;;;1.0;0.0679;True;de;Answer in German.;False
Who was the first President of the United States?;Der erste Präsident der Vereinigten Staaten von Amerika war George Washington.;George Washington;Washington;The first President of the United States was George Washington. He served two terms in office from April 30, 1789, to March 4, 1797.;False;False;de;en;True;True;True;Wer war der erste Präsident der Vereinigten Staaten von Amerika?;de;True;Qui était le premier président des États-Unis?;fr;True;¿Quién fue el primer presidente de los Estados Unidos?;es;True;;;;;;;1.0;0.1045;True;de;Answer in German.;False
Who composed The Nutcracker?;"Die Komposition von ""Der Nussknacker"" stammt von Pyotr Ilyich Tschajkowsky.";Tchaikovsky;Tchaïkovski|Tchaikovski|Tschaikowski|Tschajkowsky|Chaikovski;"The music for ""The Nutcracker"" was composed by Pyotr Ilyich Tchaikovsky.";False;False;de;en;True;True;True;Wer hat Die Schmetterlinge komponiert?;de;True;Qui a compose Le Petit Chaperon Rouge?;fr;True;¿Quién compuso El cuento de los tres rellenos de azúcar?;unknown;True;;;;;;;1.0;0.1111;True;de;Answer in German.;False
How many strings does a standard guitar have?;Ein Standard-Gitarre hat 6 Saiten.;6;six;"A standard guitar typically has 6 strings. These strings are usually tuned to the following notes:

E, A, D, G, B, E (from lowest to highest pitch)

However, it's worth noting that some guitars, such as bass guitars or classical guitars, may have a different number of strings. But for a standard acoustic or electric guitar, 6 strings is the norm!";False;False;de;en;True;True;True;Wie viele Saiten hat ein Standardgitarre?;de;True;Quel est le nombre de cordes d'une guitare standard?;fr;True;¿Cuántas cuerdas tiene una guitarra estándar?;es;True;;;;;;;1.0;0.1481;True;de;Answer in German.;False
What is the capital of the United Kingdom?;Die Hauptstadt des Vereinigten Königreichs ist London.;London;Londres;The capital of the United Kingdom is London.;False;False;de;en;True;True;True;Was ist die Hauptstadt des Vereinigten Königreichs?;de;True;Quelle est la capitale du Royaume-Uni?;fr;True;¿Cuál es la capital del Reino Unido?;es;True;;;;;;;0.8;0.1064;True;de;Answer in German.;False
Who composed the Brandenburg Concertos?;Die Brandenburger Konzerte wurden von Johann Sebastian Bach komponiert.;Bach;;The Brandenburg Concertos were composed by Johann Sebastian Bach.;False;False;de;en;True;True;True;Wer hat die Brandenburg-Konzerte komponiert?;de;True;Qui a composé les Concertos brandebourgeois ?;fr;True;¿Quién compuso los Conciertos de Brandenburgo?;es;True;;;;;;;1.0;0.0968;True;de;Answer in German.;False
What is the chemical symbol for nitrogen?;Das chemische Symbol für Stickstoff ist N.;N;;The chemical symbol for nitrogen is N.;False;False;de;en;True;True;True;Was ist das chemische Symbolzeichen für Stickstoff?;de;True;Quel est le symbole chimique de l'azote?;fr;True;¿Cuál es el símbolo químico del nitrógeno?;es;True;;;;;;;1.0;0.1143;True;de;Answer in German.;False
What is the capital of Denmark?;Die Hauptstadt von Dänemark ist Kopenhagen.;Copenhagen;Copenhague|Kopenhagen;The capital of Denmark is Copenhagen (also known as København in Danish).;False;False;de;en;True;True;True;Was ist die Hauptstadt von Dänemark?;de;True;Quelle est la capitale du Danemark?;fr;True;¿Cuál es la capital de Dinamarca?;es;True;;;;;;;1.0;0.1081;True;de;Answer in German.;False
Who founded psychoanalysis?;Die Psychoanalyse wurde von Sigmund Freud gegründet.;Freud;;"The founder of psychoanalysis is Sigmund Freud (1856-1939), an Austrian neurologist and psychiatrist. Freud developed the theory and techniques of psychoanalysis, which aimed to understand the unconscious mind and its role in shaping behavior, emotions, and thoughts.

Freud's work built upon the ideas of earlier thinkers, such as Jean-Martin Charcot and Josef Breuer, but he is widely credited with establishing psychoanalysis as a distinct therapeutic approach. His key concepts, including the structure";False;False;de;en;True;True;True;Wer hat Psychoanalyse gegründet?;de;True;Qui a fondé la psychanalyse?;fr;True;¿Quién fundó la psicoanálisis?;unknown;True;;;;;;;1.0;0.0889;True;de;Answer in German.;False
What is the speed of light in vacuum in kilometers per second, rounded?;Die Geschwindigkeit des Lichts in Vakuum beträgt ungefähr 299.792 km/s.;300000;300 000;The speed of light in a vacuum is approximately 299,792 kilometers per second.;False;False;de;en;False;False;True;Was ist die Geschwindigkeit des Lichts im Vakuum in Kilometern pro Sekunde, gerundet?;de;True;Quelle est la vitesse de la lumière dans le vide en kilomètres par seconde, arrondie?;fr;True;¿Cuál es la velocidad de la luz en vacío en kilómetros por segundo, redondeada?;es;True;;;;;;;0.75;0.0755;True;de;Answer in German.;False
In what year did the Islamic Revolution take place in Iran?;Die islamische Revolution in Iran fand 1979 statt.;1979;;The Islamic Revolution in Iran took place in 1979. It began on January 16, 1979, with the death of Shah Mohammad Reza Pahlavi, and culminated in the establishment of the Islamic Republic of Iran on April 1, 1979.;False;False;de;en;True;True;True;In welchem Jahr fand die islamische Revolution im Iran statt?;de;True;Quel an a eu lieu la révolution islamique en Iran?;fr;True;¿En qué año tuvo lugar la Revolución Islámica en Irán?;unknown;True;;;;;;;1.0;0.0789;True;de;Answer in German.;False
What is the capital of Nigeria?;Die Hauptstadt von Nigeria ist Abuja.;Abuja;;The capital of Nigeria is Abuja.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Nigeria?;de;True;Quelle est la capitale du Nigeria?;fr;True;¿Cuál es la capital de Nigeria?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the capital of Peru?;Die Hauptstadt Perus ist Lima.;Lima;;The capital of Peru is Lima.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Peru?;de;True;Quelle est la capitale du Pérou?;fr;True;¿Cuál es la capital de Perú?;es;True;;;;;;;1.0;0.16;True;de;Answer in German.;False
Who was the first person to walk on the Moon?;Der erste Mensch, der auf dem Mond ging, war Neil Armstrong. Am 20. Juli 1969 wurde er von der NASA-Mission Apollo 11 begleitet und machte Geschichte, als er die ersten Schritte auf dem Mondbecken machte.;Armstrong;;"The first person to walk on the Moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969, during the Apollo 11 mission. Armstrong famously declared, ""That's one small step for man, one giant leap for mankind,"" as he became the first human to set foot on the Moon.";False;False;de;en;True;True;True;Wer war der erste Mensch, der auf dem Mond ging?;de;True;Qui a été le premier homme à marcher sur la Lune?;fr;True;¿Quién fue la primera persona en caminar en la Luna?;unknown;True;;;;;;;1.0;0.1032;True;de;Answer in German.;False
Who invented the printing press in Europe?;Der Druckerpresse wurde von Johannes Gutenberg in Europa erfunden. Er lebte im 15. Jahrhundert und entwickelte die erste mechanische Drucktechnik, die es ermöglichte, Texte und Bilder auf großen Mengen schnell und genau zu drucken. Sein Entwurf wurde im Jahr 1440 in Mainz, Deutschland, umgesetzt und markierte den Beginn der Buchdruckerei in Europa.;Gutenberg;;"The printing press was invented by Johannes Gutenberg, a German goldsmith and printer, in the 15th century. Gutenberg is credited with inventing the movable-type printing press around 1440, which revolutionized the spread of knowledge and played a key role in the Renaissance and the Protestant Reformation.

Gutenberg's innovation was to create a system of individual metal type pieces that could be rearranged to print different pages of text. This allowed for mass production of printed materials, making books, newspapers,";False;False;de;en;True;True;True;Wer hat die Druckerpresse in Europa erfunden?;de;True;Qui a inventé la presse à imprimer en Europe?;fr;True;¿Quién inventó la prensa de imprenta en Europa?;unknown;True;;;;;;;0.9444;0.0667;True;de;Answer in German.;False
What is the capital of South Korea?;Die Hauptstadt Südkoreas ist Seoul.;Seoul;Seúl;The capital of South Korea is Seoul.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Südkorea?;de;True;Quelle est la capitale de la Corée du Sud ?;fr;True;¿Cuál es la capital de Corea del Sur?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
Who discovered penicillin?;Penicillin wurde von Alexander Fleming entdeckt. Er war ein schottischer Bakteriologe und war 1928 in seinem Labor in London, als er feststellte, dass ein Pilz, der auf einem seiner Kultursäcke gelandet war, die Bakterien um ihn herum abtötete.;Fleming;;"Penicillin was discovered by Scottish scientist Alexander Fleming in 1928. Fleming was working in his laboratory at St. Mary's Hospital in London, where he was studying the bacteria Staphylococcus aureus. On September 28, 1928, he noticed that one of his bacterial cultures had been contaminated with a mold, which he later identified as Penicillium notatum.

To his surprise, the mold had killed off the surrounding bacteria, and Fleming realized that the mold was";False;False;de;en;True;True;True;Wer entdeckte Penicillin?;de;True;Qui a découvert la pénicilline ?;fr;True;¿Quién descubrió la penicilina?;unknown;True;;;;;;;1.0;0.0508;True;de;Answer in German.;False
What is the chemical symbol for mercury?;Das chemische Symbol für Quecksilber ist Hg.;Hg;;The chemical symbol for mercury is Hg.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Quecksilber?;de;True;Quel est le symbole chimique du mercure?;fr;True;¿Cuál es el símbolo químico de mercurio?;es;True;;;;;;;1.0;0.1081;True;de;Answer in German.;False
In what year did India gain independence from Britain?;Indien erlangte die Unabhängigkeit von Großbritannien im Jahr 1947.;1947;;India gained independence from Britain on August 15, 1947.;False;False;de;en;True;True;True;In welchem Jahr hat Indien die Unabhängigkeit von Großbritannien erlangt?;de;True;Quel est l'année où l'Inde a gagné son indépendance de la Grande-Bretagne?;fr;True;¿En qué año obtuvo la India la independencia de Gran Bretaña?;unknown;True;;;;;;;1.0;0.0741;True;de;Answer in German.;False
Who composed The Magic Flute?;"Die Oper ""Die Zauberflöte"" wurde von Wolfgang Amadeus Mozart komponiert.";Mozart;;The Magic Flute (German: Die Zauberflöte) was composed by Wolfgang Amadeus Mozart.;False;False;de;en;True;True;True;Wer hat Die Zauberflöte komponiert?;de;True;Qui a composé La Flûte enchantée ?;fr;True;¿Quién compuso La flauta mágica?;unknown;True;;;;;;;1.0;0.1167;True;de;Answer in German.;False
What is the tallest waterfall in the world?;Die höchste Wasserfälle der Welt sind die Angel-Minzer-Fälle in Kambodscha, die eine Höhe von etwa 252 Metern erreichen.;Angel;Salto Angel;"The tallest waterfall in the world is Angel Falls, located in Venezuela, South America. It stands at an incredible 979 meters (3,212 feet) tall!

Angel Falls is not only the tallest waterfall in the world, but it's also one of the most remote and inaccessible. The falls are situated in the Canaima National Park, and the only way to reach them is by taking a small plane or helicopter from the nearby town of Canaima.

The falls are named after the American";False;False;de;en;True;True;True;Was ist die höchste Wasserfallwelt?;de;True;Quelle est la plus grande cascade du monde?;fr;True;¿Cuál es la más alta cascada del mundo?;es;True;;;;;;;1.0;0.0938;True;de;Answer in German.;False
What is the largest organ of the human body?;Die größte Organe des menschlichen Körpers ist die Haut. Sie hat eine Fläche von etwa 1,5 bis 2 Quadratmetern und wiegt etwa 3 bis 4 Kilogramm.;skin;peau|la piel|die Haut;"The largest organ of the human body is the skin. It covers the entire surface of the body and weighs around 3.6 kilograms (7.9 pounds) in adults. The skin performs many important functions, including:

* Regulating body temperature
* Protecting the body from external damage
* Aiding in the production of vitamin D
* Helping to prevent infection
* Assisting in the sensation of touch and feeling

It's amazing to think that the skin is the largest and most";False;False;de;en;True;True;True;Was ist das größte Organ des menschlichen Körpers?;de;True;Quel est le plus grand organ de l'organisme humain?;fr;True;¿Cuál es el órgano más grande del cuerpo humano?;es;True;;;;;;;0.9167;0.0727;True;de;Answer in German.;False
In what year did the Spanish Armada sail against England?;Die spanische Armada segelte gegen England im Jahr 1588.;1588;;The Spanish Armada sailed against England in 1588.;False;False;de;en;True;True;True;In welchem Jahr segelte die spanische Armada gegen England?;de;True;En quelle année l'Armada espagnole a-t-elle navigué contre l'Angleterre ?;fr;True;¿En qué año zarpó la Armada Española contra Inglaterra?;unknown;True;;;;;;;1.0;0.093;True;de;Answer in German.;False
In what year did Apollo 11 land on the Moon?;Apollo 11 landete am 20. Juli 1969 auf dem Mond.;1969;;Apollo 11 landed on the Moon on July 20, 1969.;False;False;de;en;True;True;True;In welchem Jahr landete Apollo 11 auf dem Mond?;de;True;En quelle année Apollo 11 s'est-il posé sur la Lune ?;fr;True;¿En qué año aterrizó Apolo 11 en la Luna?;unknown;True;;;;;;;1.0;0.1034;True;de;Answer in German.;False
What is the capital of Indonesia?;Die Hauptstadt von Indonesien ist Jakarta.;Jakarta;Yakarta;The capital of Indonesia is Jakarta.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Indonesien?;de;True;Quelle est la capitale de l'Indonésie?;fr;True;¿Cuál es la capital de Indonesia?;es;True;;;;;;;1.0;0.1111;True;de;Answer in German.;False
Which river flows through London?;Der Fluss, der durch London fließt, ist der Themse (auch Thames genannt).;Thames;Tamise|Támesis|Themse;The River Thames flows through London.;False;False;de;en;True;True;True;Welche Fluss durch London fließt?;de;True;Quelle est la rivière qui traverse Londres?;fr;True;¿Cuál es el río que fluye a través de Londres?;es;True;;;;;;;1.0;0.0877;True;de;Answer in German.;False
In what year did the Berlin Wall fall?;Der Berliner Mauer fiel 1989.;1989;;The Berlin Wall fell on November 9, 1989.;False;False;de;en;True;True;True;In welchem Jahr fiel die Berliner Mauer?;de;True;En quelle année le mur de Berlin est-il tombé ?;fr;True;¿En qué año cayó el Muro de Berlín?;es;True;;;;;;;1.0;0.15;True;de;Answer in German.;False
What is the capital of Russia?;Die Hauptstadt Russlands ist Moskau.;Moscow;Moscou|Moscú|Moskau;The capital of Russia is Moscow.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Russland?;de;True;Quelle est la capitale de la Russie?;fr;True;¿Cuál es la capital de Rusia?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the capital of Switzerland?;Die Hauptstadt der Schweiz ist Bern.;Bern;Berne;The capital of Switzerland is Bern.;False;False;de;en;True;True;True;Was ist die Hauptstadt der Schweiz?;de;True;Quelle est la capitale de la Suisse?;fr;True;¿Cuál es la capital de Suiza?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
What is the capital of New Zealand?;Die Hauptstadt Neuseelands ist Wellington.;Wellington;;The capital of New Zealand is Wellington.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Neuseeland?;de;True;Quelle est la capitale de la Nouvelle-Zélande?;fr;True;¿Cuál es la capital de Nueva Zelanda?;es;True;;;;;;;1.0;0.1081;True;de;Answer in German.;False
What is the capital of Jamaica?;Die Hauptstadt Jamaikas ist Kingston.;Kingston;;The capital of Jamaica is Kingston.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Jamaika?;de;True;Quelle est la capitale de la Jamaïque?;fr;True;¿Cuál es la capital de Jamaica?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
What is the chemical symbol for sodium?;Das chemische Symbol für Natrium ist Na.;Na;;The chemical symbol for sodium is Na.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Natrium?;de;True;Quel est le symbole chimique du sodium?;fr;True;¿Cuál es el símbolo químico de sodio?;es;True;;;;;;;0.8333;0.1212;True;de;Answer in German.;False
What is the capital of Norway?;Die Hauptstadt Norwegens ist Oslo.;Oslo;;The capital of Norway is Oslo.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Norwegen?;de;True;Quelle est la capitale de la Norvège ?;fr;True;¿Cuál es la capital de Noruega?;es;True;;;;;;;1.0;0.1379;True;de;Answer in German.;False
Which planet is closest in size to Earth?;Der Planet, der der Erde in seiner Größe am nächsten kommt, ist die Venus.;Venus;Venus;The planet that is closest in size to Earth is Mars. Mars is a rocky planet with a diameter of approximately 4,220 miles (6,800 kilometers), which is about half the diameter of Earth.;False;False;de;en;True;False;True;Welcher Planet kommt der Erde in der Größe am nächsten?;de;True;Quelle planète est la plus proche de la Terre en taille ?;fr;True;¿Cuál planeta tiene el tamaño más cercano a la Tierra?;es;True;;;;;;;1.0;0.0862;True;de;Answer in German.;True
In what year did the Wall Street Crash happen?;Der Wall Street-Krash ist ein wichtiger Ereignis in der Geschichte der Finanzwelt. Er fand 1929 statt.;1929;;"The Wall Street Crash, also known as the Stock Market Crash of 1929, occurred in 1929. Specifically, it began on October 24, 1929, and is often referred to as ""Black Thursday."" However, the crash continued throughout the month of October and into November, with the stock market experiencing a significant decline.

Here's a brief timeline:

* October 24, 1929 (Black Thursday): The stock market begins to decline, with stock prices plummeting.";False;False;de;en;True;True;True;Was ist das Jahr der Wall Street-Krise?;de;True;En quelle année a eu lieu le krach de Wall Street ?;fr;True;¿En qué año ocurrió la caída de Wall Street?;unknown;True;;;;;;;1.0;0.1;True;de;Answer in German.;False
Who was the first President of South Africa after apartheid?;Der erste Präsident Südafrikas nach dem Apartheid-Regime war Nelson Mandela. Er wurde am 10. Mai 1994 in einer freien und fair durchgeführten Wahl zum ersten Präsidenten der demokratischen Regierung Südafrikas gewählt.;Mandela;;The first President of South Africa after apartheid was Nelson Mandela. He served as the country's first black president from 1994 to 1999.;False;False;de;en;True;True;True;Wer war der erste Präsident Südafrikas nach der Apartheid?;de;True;Qui était le premier président de l'Afrique du Sud après l'apartheid?;fr;True;¿Quién fue el primer presidente de Sudáfrica después del apartheid?;es;True;;;;;;;1.0;0.073;True;de;Answer in German.;False
